Year;Measurement;ATC group;Value;Unit;Sector;Region;Source
2011;Proportion FQ;J01MA;0,1351;DDD/1000 inhabitants/day;Hospital;Belgium;ESAC-Net
2012;Proportion FQ;J01MA;0,1373;DDD/1000 inhabitants/day;Hospital;Belgium;ESAC-Net
2013;Proportion FQ;J01MA;0,1323;DDD/1000 inhabitants/day;Hospital;Belgium;ESAC-Net
2014;Proportion FQ;J01MA;0,1284;DDD/1000 inhabitants/day;Hospital;Belgium;ESAC-Net
2015;Proportion FQ;J01MA;0,1272;DDD/1000 inhabitants/day;Hospital;Belgium;ESAC-Net
2016;Proportion FQ;J01MA;0,1214;DDD/1000 inhabitants/day;Hospital;Belgium;ESAC-Net
2017;Proportion FQ;J01MA;0,1166;DDD/1000 inhabitants/day;Hospital;Belgium;ESAC-Net
2018;Proportion FQ;J01MA;0,1055;DDD/1000 inhabitants/day;Hospital;Belgium;ESAC-Net
2019;Proportion FQ;J01MA;0,0996;DDD/1000 inhabitants/day;Hospital;Belgium;ESAC-Net
2020;Proportion FQ;J01MA;0,0954;DDD/1000 inhabitants/day;Hospital;Belgium;ESAC-Net
2021;Proportion FQ;J01MA;0,0942;DDD/1000 inhabitants/day;Hospital;Belgium;ESAC-Net
2022;Proportion FQ;J01MA;0,0943;DDD/1000 inhabitants/day;Hospital;Belgium;ESAC-Net
2011;Proportion Polymixins;J01XB;0,0017;DDD/1000 inhabitants/day;Hospital;Belgium;ESAC-Net
2012;Proportion Polymixins;J01XB;0,0016;DDD/1000 inhabitants/day;Hospital;Belgium;ESAC-Net
2013;Proportion Polymixins;J01XB;0,0019;DDD/1000 inhabitants/day;Hospital;Belgium;ESAC-Net
2014;Proportion Polymixins;J01XB;0,0019;DDD/1000 inhabitants/day;Hospital;Belgium;ESAC-Net
2015;Proportion Polymixins;J01XB;0,0017;DDD/1000 inhabitants/day;Hospital;Belgium;ESAC-Net
2016;Proportion Polymixins;J01XB;0,0021;DDD/1000 inhabitants/day;Hospital;Belgium;ESAC-Net
2017;Proportion Polymixins;J01XB;0,002;DDD/1000 inhabitants/day;Hospital;Belgium;ESAC-Net
2018;Proportion Polymixins;J01XB;0,0016;DDD/1000 inhabitants/day;Hospital;Belgium;ESAC-Net
2019;Proportion Polymixins;J01XB;0,0015;DDD/1000 inhabitants/day;Hospital;Belgium;ESAC-Net
2020;Proportion Polymixins;J01XB;0,0019;DDD/1000 inhabitants/day;Hospital;Belgium;ESAC-Net
2021;Proportion Polymixins;J01XB;0,0018;DDD/1000 inhabitants/day;Hospital;Belgium;ESAC-Net
2022;Proportion Polymixins;J01XB;0,0014;DDD/1000 inhabitants/day;Hospital;Belgium;ESAC-Net
2011;Proportion piperacillin + INH;J01CR05;0,0433;DDD/1000 inhabitants/day;Hospital;Belgium;ESAC-Net
2012;Proportion piperacillin + INH;J01CR05;0,0495;DDD/1000 inhabitants/day;Hospital;Belgium;ESAC-Net
2013;Proportion piperacillin + INH;J01CR05;0,0521;DDD/1000 inhabitants/day;Hospital;Belgium;ESAC-Net
2014;Proportion piperacillin + INH;J01CR05;0,0553;DDD/1000 inhabitants/day;Hospital;Belgium;ESAC-Net
2015;Proportion piperacillin + INH;J01CR05;0,0571;DDD/1000 inhabitants/day;Hospital;Belgium;ESAC-Net
2016;Proportion piperacillin + INH;J01CR05;0,0599;DDD/1000 inhabitants/day;Hospital;Belgium;ESAC-Net
2017;Proportion piperacillin + INH;J01CR05;0,0627;DDD/1000 inhabitants/day;Hospital;Belgium;ESAC-Net
2018;Proportion piperacillin + INH;J01CR05;0,0657;DDD/1000 inhabitants/day;Hospital;Belgium;ESAC-Net
2019;Proportion piperacillin + INH;J01CR05;0,0643;DDD/1000 inhabitants/day;Hospital;Belgium;ESAC-Net
2020;Proportion piperacillin + INH;J01CR05;0,0757;DDD/1000 inhabitants/day;Hospital;Belgium;ESAC-Net
2021;Proportion piperacillin + INH;J01CR05;0,0774;DDD/1000 inhabitants/day;Hospital;Belgium;ESAC-Net
2022;Proportion piperacillin + INH;J01CR05;0,0755;DDD/1000 inhabitants/day;Hospital;Belgium;ESAC-Net
2011;Proportion Linezolid ;J01XX08;0,0041;DDD/1000 inhabitants/day;Hospital;Belgium;ESAC-Net
2012;Proportion Linezolid ;J01XX08;0,0039;DDD/1000 inhabitants/day;Hospital;Belgium;ESAC-Net
2013;Proportion Linezolid ;J01XX08;0,0042;DDD/1000 inhabitants/day;Hospital;Belgium;ESAC-Net
2014;Proportion Linezolid ;J01XX08;0,0043;DDD/1000 inhabitants/day;Hospital;Belgium;ESAC-Net
2015;Proportion Linezolid ;J01XX08;0,0038;DDD/1000 inhabitants/day;Hospital;Belgium;ESAC-Net
2016;Proportion Linezolid ;J01XX08;0,0039;DDD/1000 inhabitants/day;Hospital;Belgium;ESAC-Net
2017;Proportion Linezolid ;J01XX08;0,0035;DDD/1000 inhabitants/day;Hospital;Belgium;ESAC-Net
2018;Proportion Linezolid ;J01XX08;0,0039;DDD/1000 inhabitants/day;Hospital;Belgium;ESAC-Net
2019;Proportion Linezolid ;J01XX08;0,0037;DDD/1000 inhabitants/day;Hospital;Belgium;ESAC-Net
2020;Proportion Linezolid ;J01XX08;0,0036;DDD/1000 inhabitants/day;Hospital;Belgium;ESAC-Net
2021;Proportion Linezolid ;J01XX08;0,0039;DDD/1000 inhabitants/day;Hospital;Belgium;ESAC-Net
2022;Proportion Linezolid ;J01XX08;0,0036;DDD/1000 inhabitants/day;Hospital;Belgium;ESAC-Net
2011;Proportions carbapenems (%);J01DH;0,0299;DDD/1000 inhabitants/day;Hospital;Belgium;ESAC-Net
2012;Proportions carbapenems (%);J01DH;0,0301;DDD/1000 inhabitants/day;Hospital;Belgium;ESAC-Net
2013;Proportions carbapenems (%);J01DH;0,0304;DDD/1000 inhabitants/day;Hospital;Belgium;ESAC-Net
2014;Proportions carbapenems (%);J01DH;0,0325;DDD/1000 inhabitants/day;Hospital;Belgium;ESAC-Net
2015;Proportions carbapenems (%);J01DH;0,032;DDD/1000 inhabitants/day;Hospital;Belgium;ESAC-Net
2016;Proportions carbapenems (%);J01DH;0,0308;DDD/1000 inhabitants/day;Hospital;Belgium;ESAC-Net
2017;Proportions carbapenems (%);J01DH;0,0302;DDD/1000 inhabitants/day;Hospital;Belgium;ESAC-Net
2018;Proportions carbapenems (%);J01DH;0,0304;DDD/1000 inhabitants/day;Hospital;Belgium;ESAC-Net
2019;Proportions carbapenems (%);J01DH;0,0295;DDD/1000 inhabitants/day;Hospital;Belgium;ESAC-Net
2020;Proportions carbapenems (%);J01DH;0,0319;DDD/1000 inhabitants/day;Hospital;Belgium;ESAC-Net
2021;Proportions carbapenems (%);J01DH;0,031;DDD/1000 inhabitants/day;Hospital;Belgium;ESAC-Net
2022;Proportions carbapenems (%);J01DH;0,0272;DDD/1000 inhabitants/day;Hospital;Belgium;ESAC-Net
